0.36,0.66,0.3,0.3
0.33,0.48,0.3,0.3
0.3,0.55,0.29,0.3
0.28,0.52,0.31,0.3
0.35,0.69,0.3,0.3
0.42,0.78,0.32,0.34
0.28,0.63,0.3,0.32
0.35,0.63,0.31,0.3
0.25,0.45,0.3,0.3
0.33,0.52,0.31,0.29
0.42,0.72,0.31,0.3
0.31,0.63,0.32,0.3
0.31,0.48,0.3,0.29
0.24,0.48,0.28,0.29
0.49,0.8,0.29,0.3
0.47,0.88,0.31,0.34
0.42,0.78,0.29,0.34
0.36,0.66,0.3,0.32
0.47,0.75,0.32,0.32
0.36,0.75,0.31,0.32
0.42,0.63,0.32,0.3
0.36,0.72,0.31,0.34
0.28,0.69,0.27,0.3
0.36,0.59,0.32,0.36
0.31,0.63,0.34,0.3
0.35,0.48,0.32,0.3
0.35,0.63,0.32,0.34
0.38,0.66,0.31,0.3
0.38,0.63,0.3,0.3
0.3,0.55,0.32,0.3
0.31,0.52,0.32,0.3
0.42,0.63,0.31,0.34
0.38,0.82,0.31,0.29
0.44,0.84,0.3,0.3
0.33,0.52,0.31,0.29
0.35,0.55,0.29,0.3
0.44,0.66,0.29,0.3
0.33,0.52,0.31,0.29
0.25,0.48,0.29,0.3
0.36,0.63,0.31,0.3
0.35,0.66,0.29,0.32
0.27,0.25,0.29,0.32
0.25,0.55,0.29,0.3
0.35,0.66,0.32,0.38
0.36,0.75,0.34,0.34
0.31,0.48,0.3,0.32
0.36,0.75,0.32,0.3
0.28,0.55,0.3,0.3
0.4,0.72,0.31,0.3
0.35,0.59,0.3,0.3
0.71,0.55,0.58,0.54
0.6,0.55,0.57,0.56
0.69,0.52,0.6,0.56
0.44,0.25,0.52,0.52
0.62,0.41,0.57,0.56
0.47,0.41,0.57,0.52
0.59,0.59,0.58,0.58
0.33,0.28,0.46,0.46
0.64,0.45,0.57,0.52
0.38,0.37,0.51,0.54
0.35,0.18,0.48,0.46
0.51,0.48,0.54,0.56
0.53,0.22,0.52,0.46
0.55,0.45,0.58,0.54
0.45,0.45,0.49,0.52
0.66,0.52,0.56,0.54
0.45,0.48,0.57,0.56
0.49,0.37,0.53,0.46
0.57,0.22,0.57,0.56
0.45,0.31,0.51,0.48
0.51,0.55,0.59,0.62
0.55,0.41,0.52,0.52
0.59,0.31,0.6,0.56
0.55,0.41,0.58,0.5
0.6,0.45,0.55,0.52
0.64,0.48,0.56,0.54
0.67,0.41,0.59,0.54
0.66,0.48,0.61,0.6
0.53,0.45,0.57,0.56
0.47,0.34,0.48,0.46
0.44,0.28,0.5,0.48
0.44,0.28,0.49,0.46
0.49,0.37,0.51,0.5
0.53,0.37,0.62,0.58
0.42,0.48,0.57,0.56
0.53,0.63,0.57,0.58
0.66,0.52,0.58,0.56
0.59,0.25,0.56,0.52
0.45,0.48,0.53,0.52
0.44,0.31,0.52,0.52
0.44,0.34,0.56,0.5
0.55,0.48,0.57,0.54
0.49,0.34,0.52,0.5
0.35,0.25,0.46,0.46
0.45,0.37,0.54,0.52
0.47,0.48,0.54,0.5
0.47,0.45,0.54,0.52
0.57,0.45,0.55,0.52
0.36,0.31,0.43,0.48
0.47,0.41,0.53,0.52
0.59,0.59,0.69,0.75
0.49,0.37,0.62,0.64
0.72,0.48,0.68,0.68
0.59,0.45,0.66,0.62
0.62,0.48,0.67,0.7
0.79,0.48,0.73,0.68
0.33,0.31,0.57,0.6
0.75,0.45,0.71,0.62
0.66,0.31,0.67,0.62
0.74,0.69,0.7,0.75
0.62,0.55,0.62,0.66
0.6,0.37,0.63,0.64
0.67,0.48,0.65,0.68
0.47,0.31,0.61,0.66
0.49,0.41,0.62,0.73
0.6,0.55,0.63,0.71
0.62,0.48,0.65,0.62
0.8,0.75,0.74,0.7
0.8,0.34,0.75,0.71
0.53,0.22,0.61,0.56
0.69,0.55,0.67,0.71
0.45,0.41,0.6,0.66
0.8,0.41,0.74,0.66
0.59,0.37,0.6,0.62
0.66,0.59,0.67,0.68
0.74,0.55,0.69,0.62
0.57,0.41,0.59,0.62
0.55,0.48,0.6,0.62
0.6,0.41,0.66,0.68
0.74,0.48,0.67,0.58
0.77,0.41,0.7,0.64
0.83,0.75,0.72,0.66
0.6,0.41,0.66,0.7
0.59,0.41,0.62,0.56
0.55,0.34,0.66,0.54
0.8,0.48,0.7,0.71
0.59,0.63,0.66,0.73
0.6,0.52,0.65,0.62
0.53,0.48,0.59,0.62
0.69,0.52,0.64,0.68
0.66,0.52,0.66,0.73
0.69,0.52,0.62,0.71
0.49,0.37,0.62,0.64
0.67,0.55,0.68,0.71
0.66,0.59,0.67,0.75
0.66,0.48,0.63,0.71
0.59,0.31,0.61,0.64
0.62,0.48,0.63,0.66
0.57,0.63,0.64,0.71
0.51,0.48,0.62,0.62
