0.22,0.62,0.07,0.04
0.17,0.42,0.07,0.04
0.11,0.5,0.05,0.04
0.08,0.46,0.08,0.04
0.19,0.67,0.07,0.04
0.31,0.79,0.12,0.13
0.08,0.58,0.07,0.08
0.19,0.58,0.08,0.04
0.03,0.37,0.07,0.04
0.17,0.46,0.08,0.0
0.31,0.71,0.08,0.04
0.14,0.58,0.1,0.04
0.14,0.42,0.07,0.0
0.0,0.42,0.02,0.0
0.42,0.83,0.03,0.04
0.39,1.0,0.08,0.13
0.31,0.79,0.05,0.13
0.22,0.62,0.07,0.08
0.39,0.75,0.12,0.08
0.22,0.75,0.08,0.08
0.31,0.58,0.12,0.04
0.22,0.71,0.08,0.13
0.08,0.67,0.0,0.04
0.22,0.54,0.12,0.17
0.14,0.58,0.15,0.04
0.19,0.42,0.1,0.04
0.19,0.58,0.1,0.13
0.25,0.62,0.08,0.04
0.25,0.58,0.07,0.04
0.11,0.5,0.1,0.04
0.14,0.46,0.1,0.04
0.31,0.58,0.08,0.13
0.25,0.87,0.08,0.0
0.33,0.92,0.07,0.04
0.17,0.46,0.08,0.0
0.19,0.5,0.03,0.04
0.33,0.62,0.05,0.04
0.17,0.46,0.08,0.0
0.03,0.42,0.05,0.04
0.22,0.58,0.08,0.04
0.19,0.62,0.05,0.08
0.06,0.12,0.05,0.08
0.03,0.5,0.05,0.04
0.19,0.62,0.1,0.21
0.22,0.75,0.15,0.13
0.14,0.42,0.07,0.08
0.22,0.75,0.1,0.04
0.08,0.5,0.07,0.04
0.28,0.71,0.08,0.04
0.19,0.54,0.07,0.04
0.75,0.5,0.63,0.54
0.58,0.5,0.59,0.58
0.72,0.46,0.66,0.58
0.33,0.12,0.51,0.5
0.61,0.33,0.61,0.58
0.39,0.33,0.59,0.5
0.56,0.54,0.63,0.63
0.17,0.17,0.39,0.38
0.64,0.37,0.61,0.5
0.25,0.29,0.49,0.54
0.19,0.0,0.42,0.38
0.44,0.42,0.54,0.58
0.47,0.08,0.51,0.38
0.5,0.37,0.63,0.54
0.36,0.37,0.44,0.5
0.67,0.46,0.58,0.54
0.36,0.42,0.59,0.58
0.42,0.29,0.53,0.38
0.53,0.08,0.59,0.58
0.36,0.21,0.49,0.42
0.44,0.5,0.64,0.71
0.5,0.33,0.51,0.5
0.56,0.21,0.66,0.58
0.5,0.33,0.63,0.46
0.58,0.37,0.56,0.5
0.64,0.42,0.58,0.54
0.69,0.33,0.64,0.54
0.67,0.42,0.68,0.67
0.47,0.37,0.59,0.58
0.39,0.25,0.42,0.38
0.33,0.17,0.47,0.42
0.33,0.17,0.46,0.38
0.42,0.29,0.49,0.46
0.47,0.29,0.69,0.63
0.31,0.42,0.59,0.58
0.47,0.58,0.59,0.63
0.67,0.46,0.63,0.58
0.56,0.12,0.58,0.5
0.36,0.42,0.53,0.5
0.33,0.21,0.51,0.5
0.33,0.25,0.58,0.46
0.5,0.42,0.61,0.54
0.42,0.25,0.51,0.46
0.19,0.12,0.39,0.38
0.36,0.29,0.54,0.5
0.39,0.42,0.54,0.46
0.39,0.37,0.54,0.5
0.53,0.37,0.56,0.5
0.22,0.21,0.34,0.42
0.39,0.33,0.53,0.5
0.56,0.54,0.85,1.0
0.42,0.29,0.69,0.75
0.78,0.42,0.83,0.83
0.56,0.37,0.78,0.71
0.61,0.42,0.81,0.88
0.92,0.42,0.95,0.83
0.17,0.21,0.59,0.67
0.83,0.37,0.9,0.71
0.67,0.21,0.81,0.71
0.81,0.67,0.86,1.0
0.61,0.5,0.69,0.79
0.58,0.29,0.73,0.75
0.69,0.42,0.76,0.83
0.39,0.21,0.68,0.79
0.42,0.33,0.69,0.96
0.58,0.5,0.73,0.92
0.61,0.42,0.76,0.71
0.94,0.75,0.97,0.88
0.94,0.25,1.0,0.92
0.47,0.08,0.68,0.58
0.72,0.5,0.8,0.92
0.36,0.33,0.66,0.79
0.94,0.33,0.97,0.79
0.56,0.29,0.66,0.71
0.67,0.54,0.8,0.83
0.81,0.5,0.85,0.71
0.53,0.33,0.64,0.71
0.5,0.42,0.66,0.71
0.58,0.33,0.78,0.83
0.81,0.42,0.81,0.63
0.86,0.33,0.86,0.75
1.0,0.75,0.92,0.79
0.58,0.33,0.78,0.88
0.56,0.33,0.69,0.58
0.5,0.25,0.78,0.54
0.94,0.42,0.86,0.92
0.56,0.58,0.78,0.96
0.58,0.46,0.76,0.71
0.47,0.42,0.64,0.71
0.72,0.46,0.75,0.83
0.67,0.46,0.78,0.96
0.72,0.46,0.69,0.92
0.42,0.29,0.69,0.75
0.69,0.5,0.83,0.92
0.67,0.54,0.8,1.0
0.67,0.42,0.71,0.92
0.56,0.21,0.68,0.75
0.61,0.42,0.71,0.79
0.53,0.58,0.75,0.92
0.44,0.42,0.69,0.71
